,학교명,시군구,한부모가족지원법수급자_재가보호_가구원수,국민기초생활보장법수급자_가구원수,소득인식수준_중간소득,소득인식수준_고소득,성인게임장수,사건종별가정폭력,사건종별데이트폭력,월평균소득금액(백만),다문화가족,환경지표_score,환경지표_cluster,환경지표_학교폭력위험도,교실안,신체폭력,집단따돌림,쉬는시간,500m_inner_Harmful_dept,위해지표_score,위해지표_cluster,위해지표_학교폭력위험도,평균 교육 시간(1학급당),500m_inner_police_dept,500m_inner_cctv,경감지표_score,경감지표_cluster,경감지표_학교폭력위험도,total_score,종합_위험도
0,가락고등학교,송파구,10.58790749512399,41.94498203971595,61.9,21.3,10.0,4.6116942204603815,0.6739813092557589,39.69562,1.6667417451236544,48.71522932797662,3,매우낮음,1.0,0.0,1.0,0.0,0,20,5,안전,147.75,0,102,-20,0,매우 안전하지 않음,22.009758025979476,안전
1,가재울고등학교,서대문구,16.758590757748077,47.709712062700575,46.9,20.2,5.0,3.5015530204069782,0.5042361113311095,39.43923,1.7417051293216057,46.19379882574886,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,100.0,0,137,-20,0,매우 안전하지 않음,41.95342124197851,위험
2,강동고등학교,강동구,14.148759196693478,48.66315663105181,52.6,19.8,15.0,4.690014354443052,0.769964042143294,33.3621,1.3340944911205153,55.14826653218568,2,보통,0.0,0.0,1.0,1.0,0,60,2,주의,30.65,0,51,-20,0,매우 안전하지 않음,35.50411264562896,위험
3,강서고등학교,양천구,15.982703163465317,58.27027195013396,62.8,13.5,6.0,4.280518811753725,0.4125165284088848,35.63309,2.47819510154163,65.10383413720601,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,237.3,1,299,-100,1,매우 안전,28.336669629046675,보통
4,강서공업고등학교,강서구,20.076996315767687,67.13030039602047,62.7,17.2,15.0,5.099762909135696,1.060769135240303,31.65221,2.591577629296631,77.83118571908382,1,매우높음,0.6666666666666666,0.0,0.3333333333333333,1.0,1,40,4,보통,187.5,1,98,-40,3,안전하지 않음,35.04614573199677,보통
5,강일고등학교,강동구,14.148759196693478,48.66315663105181,52.6,19.8,15.0,4.690014354443052,0.769964042143294,33.3621,1.3340944911205153,55.14826653218568,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,325.0,1,30,-80,2,안전,29.34723264562896,보통
6,개포고등학교,강남구,6.136110078095947,30.717738936407585,44.9,34.7,2.0,2.146930105566124,1.1605925374984505,47.99007,1.3306654312834516,19.071216500868555,3,매우낮음,0.5,0.0,0.5,0.5,1,40,4,보통,126.4,0,136,-20,0,매우 안전하지 않음,13.712003905190665,매우안전
7,건국대학교사범대학부속고등학교,광진구,16.50469192659666,57.36940166237979,53.1,23.0,7.0,3.966529015431428,0.9240169735537362,30.66952,2.4994566398609,60.19373183370286,2,보통,0.5,0.5,0.0,0.0,1,0,0,매우 안전,0.1,1,158,-40,3,안전하지 않음,16.421938570206187,매우안전
8,경기고등학교,강남구,6.136110078095947,30.717738936407585,44.9,34.7,2.0,2.146930105566124,1.1605925374984505,47.99007,1.3306654312834516,19.071216500868555,3,매우낮음,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0,0,매우 안전,38.1,2,185,-100,1,매우 안전,-19.111596094809343,매우안전
9,경기기계공업고등학교,노원구,15.516190047111737,82.9601550453834,45.7,18.5,9.0,4.978838358065423,0.4968158473574574,31.93595,2.2483718251221445,73.82736650264715,2,보통,0.5,0.0,0.0,1.0,0,40,4,보통,49.4,0,86,-20,0,매우 안전하지 않음,38.78166913430498,위험
